actuator,x_coord,y_coord
782,188,393
783,201,393
784,214,393
785,227,394
786,240,394
787,253,395
788,265,395
789,279,395
790,292,396
791,305,396
792,317,396
793,330,397
794,343,397
795,356,398
796,370,398
797,382,399
798,396,399
799,408,399
800,421,400
801,434,401
802,447,401
803,459,400
804,98,402
805,110,404
806,123,404
807,136,405
808,149,405
809,162,405
810,175,406
811,188,406
812,201,406
813,214,407
814,227,407
815,239,407
816,253,408
817,265,408
818,279,409
819,291,409
820,305,409
821,317,410
822,331,410
823,344,410
824,356,411
825,370,411
826,382,412
827,396,412
828,408,413
829,421,413
830,434,412
831,445,412
832,112,415
833,123,417
834,136,418
835,149,418
836,161,418
837,175,419
838,188,419
839,201,419
840,214,420
841,226,420
842,240,421
843,252,421
844,265,421
845,279,422
846,291,422
847,304,422
848,317,423
849,330,423
850,343,424
851,356,424
852,369,425
853,382,425
854,395,425
855,408,426
856,420,426
857,432,425
858,124,429
859,136,430
860,148,431
861,161,431
862,174,432
863,187,432
864,201,433
865,213,433
866,226,433
867,239,434
868,252,434
869,265,435
870,278,435
871,291,435
872,304,435
873,317,436
874,330,436
875,343,437
876,355,437
877,368,438
878,381,438
879,395,439
880,407,439
881,420,438
882,137,443
883,148,444
884,161,445
885,174,445
886,187,445
887,200,446
888,213,446
889,226,446
890,239,447
891,252,447
892,265,448
893,277,448
894,290,448
895,304,449
896,317,449
897,329,449
898,343,450
899,355,450
900,368,451
901,381,451
902,395,450
903,406,450
904,149,456
905,161,457
906,174,458
907,186,458
908,199,459
909,213,459
910,225,459
911,238,459
912,251,459
913,265,461
914,278,461
915,289,461
916,303,461
917,316,462
918,329,462
919,342,462
920,355,463
921,368,463
922,381,463
923,393,463
924,174,470
925,187,471
926,199,471
927,212,472
928,225,472
929,238,473
930,251,473
931,264,473
932,277,474
933,290,474
934,303,474
935,316,475
936,329,475
937,341,476
938,355,476
939,366,475
940,200,484
941,212,484
942,225,485
943,238,485
944,250,485
945,264,486
946,277,486
947,289,487
948,302,487
949,315,487
950,328,488
951,340,488
